"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude","tipo","motivo"
"Pinches chairos el primer corrupto es su pinche viejo PENDEJOOOOOOOOO....#LopezASuRanchoALaChingada ........#OdioAYaSabesQuien ......",FALSE,0,NA,2018-06-13 02:39:34,FALSE,NA,"1006727752689389568",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","lajirafadeqro",0,FALSE,FALSE,NA,NA,"pinche_viejo","edad"
"Pinche viejo PENDEJOOOOOOOOO....si es el primer corrupto.......#LopezASuRanchoALaChingada",FALSE,0,NA,2018-06-13 02:35:04,FALSE,NA,"1006726616528052224",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","lajirafadeqro",0,FALSE,FALSE,NA,NA,"pinche_viejo","edad"
"@NTelevisa_com @lopezobrador_ Pinche viejo mamon !!",FALSE,0,"NTelevisa_com",2018-06-13 02:30:24,FALSE,"1006725097250545664","1006725443536523267","25401359","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","leyva53",0,FALSE,FALSE,NA,NA,"pinche_viejo","edad"
"El bronco sacando el cel a escondidas. PINCHE VIEJO MAÑOSO.",FALSE,0,NA,2018-06-13 02:27:06,FALSE,NA,"1006724613668265984",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Misael_Pelayo",0,FALSE,FALSE,NA,NA,"pinche_viejo","edad"
"#DebateINE @RicardoAnayaC PINCHE VIEJO RIDICULO!!!",FALSE,0,NA,2018-06-13 02:10:28,FALSE,NA,"1006720428637859846",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Elisa_delRey",0,FALSE,FALSE,NA,NA,"pinche_viejo","edad"
"@JoseAMeadeK Pinche viejo payaso, ya se lo cogieron desde que lo escogió el pri.",FALSE,0,"JoseAMeadeK",2018-06-13 02:03:54,FALSE,"1006709214004195328","1006718775163539456","237372254","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","lfss1975",0,FALSE,FALSE,NA,NA,"pinche_viejo","edad"
"@DiegoFCevallos POR ODIAS TANTO A TU FUTURO PRESIDENTE AMLO,  PINCHE VIEJO TRAUMADO.",FALSE,0,"DiegoFCevallos",2018-06-13 01:44:48,FALSE,"1006583058085138432","1006713970084937729","1618245426","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","JOSLUISARROYOV1",0,FALSE,FALSE,NA,NA,"pinche_viejo","edad"
"RT @jose73perez1: Pinche viejo cochino
@lopezobrador_ https://t.co/gM3RxDR89C",FALSE,0,NA,2018-06-13 01:32:00,FALSE,NA,"1006710744912719872",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","oscarsanchez754",2,TRUE,FALSE,NA,NA,"pinche_viejo","edad"
"RT @jose73perez1: Pinche viejo cochino
@lopezobrador_ https://t.co/gM3RxDR89C",FALSE,0,NA,2018-06-13 01:31:11,FALSE,NA,"1006710542554107904",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","TKazynz",2,TRUE,FALSE,NA,NA,"pinche_viejo","edad"
"Pinché viejo culero ! https://t.co/6q5nQK6DrE",FALSE,1,NA,2018-06-13 01:14:52,FALSE,NA,"1006706437207330817",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","TexanWarrior",1,FALSE,FALSE,NA,NA,"pinche_viejo","edad"
"@El_Universal_Mx @RiosPiterJaguar Pinche viejo payaso",FALSE,2,"El_Universal_Mx",2018-06-13 00:23:09,FALSE,"1006693295651786758","1006693421761908736","16676396","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","LJAparecida",0,FALSE,FALSE,NA,NA,"pinche_viejo","edad"
